,fips,covid_case*,population,percent_age_65_and_older,majority_race,female_to_male,high_school_graduation_rate,median_household_income,percent_adults_with_obesity,percent_smokers,violent_crime_rate,o3_mean_pred,pm25_mean_pred,mean_temp,2016_pres_election,percent_drive_alone_to_work,date_stay_at_home_effective
0,1001,227.3174748071381,55869.0,14.0,4.0,1.0460240157626677,90.0,59338.0,33.3,18.1,272.3,37.0,11.2,72.0,1.0,86.5,1.0
1,1003,117.36563426718153,223234.0,18.7,4.0,1.0432646417555036,86.4,57588.0,31.0,17.5,203.7,38.1,9.6,,1.0,84.3,1.0
2,1005,364.57911366766587,24686.0,16.5,0.0,0.8747137950772753,81.4,34382.0,41.7,22.0,414.3,37.4,10.9,76.5,1.0,83.4,1.0
3,1007,227.7395730999375,22394.0,14.9,4.0,0.8431148477675292,83.8,46064.0,37.6,19.1,89.3,36.1,10.7,70.2,1.0,84.9,1.0
4,1009,81.27831771175595,57826.0,17.2,4.0,1.0241137241137241,93.5,50412.0,33.8,19.2,482.7,38.1,11.0,68.5,1.0,86.2,1.0
5,1011,514.8005148005147,10101.0,15.1,3.0,0.8657407407407407,70.2,29267.0,37.2,22.9,311.0,37.5,10.9,67.4,0.0,79.1,1.0
6,1013,1516.8654874537228,19448.0,18.1,4.0,1.137425658453696,81.6,37365.0,43.3,21.8,581.6,36.6,10.2,68.3,1.0,83.8,1.0
7,1015,117.07231195810044,113605.0,15.9,4.0,1.0780853704603097,92.4,45400.0,38.5,20.6,756.1,38.2,11.2,66.1,1.0,84.8,1.0
8,1017,989.3546641005594,33254.0,18.4,4.0,1.0768995098039216,86.2,39917.0,40.1,19.4,529.0,38.1,11.0,62.7,1.0,85.3,1.0
9,1019,110.7039242632463,26196.0,20.3,4.0,1.0101850412066553,94.9,42132.0,35.0,17.5,330.4,38.1,10.9,66.7,1.0,83.1,1.0
10,1021,180.06662465112092,44428.0,15.2,4.0,1.0323373851721258,88.2,47547.0,37.7,20.2,507.8,36.9,10.7,72.2,1.0,83.6,1.0
11,1023,730.7967273016126,12589.0,20.7,4.0,1.1010036641707823,78.6,39907.0,41.3,18.8,128.4,35.6,9.7,70.1,1.0,82.1,1.0
12,1025,342.9006858013716,23622.0,18.1,4.0,1.1139153575414198,90.9,40741.0,34.1,20.6,475.3,36.0,9.9,70.1,1.0,88.3,1.0
13,1027,204.00453343407634,13235.0,19.4,4.0,1.07185906351414,89.8,39201.0,40.6,19.6,309.1,38.3,10.5,66.1,1.0,89.9,1.0
14,1029,87.18980549966466,14910.0,18.2,4.0,1.0278267951676394,98.0,46495.0,37.3,18.4,103.3,38.2,10.6,66.1,1.0,81.4,1.0
15,1031,334.33953612777503,52342.0,15.8,4.0,1.0246977205153618,92.5,55122.0,34.2,17.4,276.2,36.9,10.4,,1.0,86.6,1.0
16,1033,177.40446407559602,55241.0,18.5,4.0,1.0822017366025323,92.1,49055.0,30.6,18.7,400.0,36.9,10.4,70.0,1.0,90.2,1.0
17,1035,174.02834175851496,12067.0,20.3,4.0,1.094205298013245,80.4,32613.0,43.0,21.1,387.4,36.5,9.9,66.0,1.0,89.4,1.0
18,1037,309.48138422582764,10663.0,18.7,4.0,1.0012787723785166,82.7,42423.0,40.3,20.4,254.8,37.9,10.7,66.2,1.0,84.0,1.0
19,1039,156.54943453264596,37049.0,20.2,4.0,1.069100534936304,94.9,40203.0,31.7,19.2,331.1,36.9,10.0,70.7,1.0,87.5,1.0
20,1041,384.8388033691548,13772.0,17.5,4.0,1.0433244916003537,89.1,39057.0,38.0,18.6,331.9,37.0,10.3,74.6,1.0,81.7,1.0
21,1043,83.56412950052525,83768.0,17.8,4.0,1.0312507769186783,90.5,45796.0,36.9,17.9,129.4,37.9,11.0,68.5,1.0,87.6,1.0
22,1045,128.12169527373302,49172.0,15.4,4.0,1.0140678519001793,90.3,45309.0,37.2,20.1,436.7,37.1,10.5,69.3,1.0,85.7,1.0
23,1047,427.4653188514894,37196.0,15.7,3.0,1.166781859747993,86.2,34035.0,43.1,24.1,924.6,36.0,10.6,,0.0,86.4,1.0
24,1049,272.6776949645519,71513.0,15.5,4.0,1.015228713768116,92.7,39491.0,29.2,21.0,312.3,38.7,10.9,67.4,1.0,85.7,1.0
25,1051,254.89785614894902,81209.0,13.9,4.0,1.0578042025560892,86.2,60367.0,34.3,17.5,238.7,37.5,11.3,72.0,1.0,86.7,1.0
26,1053,106.46138727376956,36633.0,16.7,4.0,0.9466521784125013,87.8,38418.0,39.4,22.4,446.2,36.5,9.8,69.5,1.0,91.6,1.0
27,1055,210.23193960965307,102268.0,17.4,4.0,1.0735051670754754,90.3,44903.0,35.5,20.1,604.0,38.2,11.3,65.4,1.0,85.5,1.0
28,1057,55.207949944792055,16302.0,19.5,4.0,1.0335734342571115,91.8,39254.0,41.0,18.0,,36.5,10.2,67.1,1.0,85.9,1.0
29,1059,1160.6402652892036,31362.0,16.0,4.0,0.9918447338475155,92.1,39388.0,34.3,19.3,264.2,36.8,10.1,66.4,1.0,83.2,1.0
30,1061,87.54900841231776,26271.0,19.0,4.0,1.0427429274292743,90.3,37823.0,38.7,20.0,413.6,36.9,10.2,70.7,1.0,83.7,1.0
31,1063,1072.617433115522,8111.0,18.0,3.0,1.1027599802858552,77.5,28524.0,35.5,24.6,669.3,35.4,10.2,72.3,0.0,82.2,1.0
32,1065,655.2453757422702,14651.0,17.7,3.0,1.1272520924953895,91.3,34724.0,40.4,22.1,208.6,35.5,10.3,74.1,0.0,88.4,1.0
33,1067,255.73961057832025,17205.0,20.6,4.0,1.084551656920078,97.9,46027.0,36.3,18.4,197.4,37.4,10.5,72.6,1.0,87.2,1.0
34,1069,133.1671105570352,105882.0,16.0,4.0,1.086123634906322,90.9,47993.0,38.1,19.2,487.8,37.3,10.5,72.6,1.0,88.4,1.0
35,1071,122.03153449812109,51626.0,18.5,4.0,1.0350808960796516,90.1,41929.0,38.7,20.0,317.0,39.1,10.3,67.1,1.0,86.3,1.0
